RowID,Station Code,DateTimeStamp,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Turb,F_Turb,ChlFluor,F_ChlFluor,Depth,F_Depth
2,noccmswq,06/17/2015 12:45, ,0,CMS Pier,0,6.3,28.2,<0> (CND),52.72,<0> (CND),34.7,<0> (CND),80.6,<0> (CND),5.2,<0> (CND),7.8,<0> (CND),-57.3,6,<0> (CND),2.93,<0> (CND),1.71,<0> (CND)
3,noccmswq,06/17/2015 13:00, ,0,CMS Pier,0,6.3,28.0,0,53.44,0,35.2,0,83.0,0,5.3,0,7.8,0,-58.8,6,0,2.28,0,1.74,0
4,noccmswq,06/17/2015 13:15, ,0,CMS Pier,0,6.3,27.8,0,54.03,0,35.6,0,85.9,0,5.5,0,7.8,0,-60.3,5,0,2.02,0,1.77,0
5,noccmswq,06/17/2015 13:30, ,0,CMS Pier,0,6.3,27.6,0,54.33,0,35.9,0,87.8,0,5.7,0,7.8,0,-61.2,7,0,1.97,0,1.79,0
6,noccmswq,06/17/2015 13:45, ,0,CMS Pier,0,6.3,27.4,0,54.61,0,36.1,0,89.8,0,5.8,0,7.9,0,-62.2,5,0,2.72,0,1.80,0
7,noccmswq,06/17/2015 14:00, ,0,CMS Pier,0,6.3,27.1,0,54.81,0,36.2,0,91.7,0,6.0,0,7.9,0,-63.1,4,0,2.03,0,1.79,0
8,noccmswq,06/17/2015 14:15, ,0,CMS Pier,0,6.3,27.5,0,54.58,0,36.1,0,92.4,0,6.0,0,7.9,0,-62.8,8,0,1.61,0,1.76,0
9,noccmswq,06/17/2015 14:30, ,0,CMS Pier,0,6.3,27.8,0,54.31,0,35.9,0,95.0,0,6.1,0,7.9,0,-62.6,6,0,2,0,1.71,0
10,noccmswq,06/17/2015 14:45, ,0,CMS Pier,0,6.3,27.9,0,54.23,0,35.8,0,97.7,0,6.3,0,7.9,0,-63.3,5,0,2.25,0,1.65,0
11,noccmswq,06/17/2015 15:00, ,0,CMS Pier,0,6.3,28.2,0,53.66,0,35.4,0,97.9,0,6.3,0,7.9,0,-62.4,7,0,2.73,0,1.60,0
12,noccmswq,06/17/2015 15:15, ,0,CMS Pier,0,6.3,28.7,0,52.63,0,34.6,0,97.9,0,6.3,0,7.9,0,-61.6,8,0,3.65,0,1.54,0
13,noccmswq,06/17/2015 15:30, ,0,CMS Pier,0,6.3,28.9,0,52.07,0,34.2,0,98.2,0,6.3,0,7.8,0,-61.1,8,0,4.09,0,1.48,0
14,noccmswq,06/17/2015 15:45, ,0,CMS Pier,0,6.3,29.3,0,51.39,0,33.6,0,100.5,0,6.4,0,7.8,0,-61.1,7,0,5.62,0,1.41,0
15,noccmswq,06/17/2015 16:00, ,0,CMS Pier,0,6.3,29.8,0,50.23,0,32.8,0,103.3,0,6.6,0,7.8,0,-61.1,7,0,5.29,0,1.35,0
16,noccmswq,06/17/2015 16:15, ,0,CMS Pier,0,6.3,29.9,0,49.84,0,32.5,0,106.5,0,6.7,0,7.8,0,-61.5,8,0,5.1,0,1.28,0
17,noccmswq,06/17/2015 16:30, ,0,CMS Pier,0,6.3,30.0,0,49.66,0,32.4,0,110.2,0,7.0,0,7.9,0,-62.4,8,0,5.41,0,1.21,0
18,noccmswq,06/17/2015 16:45, ,0,CMS Pier,0,6.3,30.2,0,49.37,0,32.1,0,113.9,0,7.2,0,7.9,0,-63.1,10,0,5.95,0,1.14,0
19,noccmswq,06/17/2015 17:00, ,0,CMS Pier,0,6.3,30.4,0,48.90,0,31.8,0,117.7,0,7.4,0,7.9,0,-63.8,9,0,6.29,0,1.07,0
20,noccmswq,06/17/2015 17:15, ,0,CMS Pier,0,6.3,30.7,0,48.85,0,31.7,0,121.8,0,7.7,0,7.9,0,-64.6,9,0,6.24,0,1.00,0
21,noccmswq,06/17/2015 17:30, ,0,CMS Pier,0,6.3,30.8,0,48.09,0,31.2,0,124.8,0,7.9,0,7.9,0,-65.4,10,0,8.25,0,0.92,0
