RowID,Station Code,DateTimeStamp,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Turb,F_Turb,ChlFluor,F_ChlFluor,Depth,F_Depth,VertPosm
2,NOCCMSWQ,01/15/2016 18:00, ,0,CMS Pier,0,5.8,12.9,<0> (CND),51.05,<0> (CND),33.5,<0> (CND),96.5,<0> (CND),8.3,<0> (CND),8.0,<0> (CND),-88.2,2,<0> (CND),2.81,<0> (CND),1.91,<0> (CND),1.904
3,NOCCMSWQ,01/15/2016 18:15, ,0,CMS Pier,0,5.8,12.3,0,49.80,0,32.5,0,97.0,0,8.5,0,8.0,0,-89.3,2,0,2.79,0,1.85,0,1.852
4,NOCCMSWQ,01/15/2016 18:30, ,0,CMS Pier,0,5.8,12.0,0,48.69,0,31.7,0,96.7,0,8.5,0,8.0,0,-89.2,2,0,2.16,0,1.79,0,1.787
5,NOCCMSWQ,01/15/2016 18:45, ,0,CMS Pier,0,5.8,11.7,0,46.42,0,30.1,0,95.9,0,8.6,0,8.0,0,-88.9,2,0,2.23,0,1.73,0,1.732
6,NOCCMSWQ,01/15/2016 19:00, ,0,CMS Pier,0,5.8,11.6,0,44.05,0,28.4,0,96.2,0,8.8,0,8.0,0,-88.5,3,0,2.68,0,1.68,0,1.674
7,NOCCMSWQ,01/15/2016 19:15, ,0,CMS Pier,0,5.8,11.5,0,43.19,0,27.7,0,95.9,0,8.8,0,8.0,0,-88.1,2,0,3.05,0,1.61,0,1.604
8,NOCCMSWQ,01/15/2016 19:30, ,0,CMS Pier,0,5.8,11.4,0,42.10,0,27.0,0,95.5,0,8.8,0,8.0,0,-87.8,3,0,2.49,0,1.55,0,1.553
9,NOCCMSWQ,01/15/2016 19:45, ,0,CMS Pier,0,5.8,11.4,0,40.35,0,25.7,0,95.7,0,8.9,0,7.9,0,-87.5,2,0,2.91,0,1.49,0,1.487
10,NOCCMSWQ,01/15/2016 20:00, ,0,CMS Pier,0,5.8,11.5,0,39.39,0,25.1,0,95.1,0,8.9,0,7.9,0,-87.2,3,0,2.91,0,1.44,0,1.432
11,NOCCMSWQ,01/15/2016 20:15, ,0,CMS Pier,0,5.8,11.5,0,40.46,0,25.8,0,95.2,0,8.8,0,7.9,0,-87.6,3,0,3.25,0,1.37,0,1.367
12,NOCCMSWQ,01/15/2016 20:30, ,0,CMS Pier,0,5.8,11.6,0,38.69,0,24.6,0,95.6,0,8.9,0,7.9,0,-87,8,0,2.79,0,1.28,0,1.278
13,NOCCMSWQ,01/15/2016 20:45, ,0,CMS Pier,0,5.8,11.6,0,37.91,0,24.0,0,95.5,0,8.9,0,7.9,0,-86.8,3,0,2.89,0,1.20,0,1.197
14,NOCCMSWQ,01/15/2016 21:00, ,0,CMS Pier,0,5.8,11.6,0,36.64,0,23.1,0,95.6,0,9.0,0,7.9,0,-86.2,3,0,2.87,0,1.13,0,1.134
15,NOCCMSWQ,01/15/2016 21:15, ,0,CMS Pier,0,5.8,11.7,0,36.30,0,22.9,0,95.5,0,9.0,0,7.9,0,-85.8,3,0,2.9,0,1.07,0,1.066
16,NOCCMSWQ,01/15/2016 21:30, ,0,CMS Pier,0,5.8,11.7,0,36.60,0,23.1,0,95.2,0,8.9,0,7.9,0,-85.8,3,0,3.33,0,1.00,0,1.003
17,NOCCMSWQ,01/15/2016 21:45, ,0,CMS Pier,0,5.8,11.7,0,36.69,0,23.2,0,95.2,0,8.9,0,7.9,0,-85.8,3,0,2.95,0,0.95,0,0.954
18,NOCCMSWQ,01/15/2016 22:00, ,0,CMS Pier,0,5.8,11.8,0,36.41,0,23.0,0,95.2,0,8.9,0,7.9,0,-85.6,4,0,3.49,0,0.88,0,0.875
19,NOCCMSWQ,01/15/2016 22:15, ,0,CMS Pier,0,5.8,11.7,0,36.48,0,23.0,0,94.9,0,8.9,0,7.9,0,-85.5,4,0,2.96,0,0.79,0,0.789
20,NOCCMSWQ,01/15/2016 22:30, ,0,CMS Pier,0,5.8,11.8,0,35.89,0,22.6,0,94.6,0,8.9,0,7.9,0,-85.1,5,0,3.29,0,0.72,0,0.718
21,NOCCMSWQ,01/15/2016 22:45, ,0,CMS Pier,0,5.8,11.8,0,35.46,0,22.3,0,94.4,0,8.9,0,7.9,0,-84.5,6,0,3.49,0,0.68,0,0.683
22,NOCCMSWQ,01/15/2016 23:00, ,0,CMS Pier,0,5.8,11.8,0,34.94,0,22.0,0,94.1,0,8.9,0,7.9,0,-83.8,6,0,3.12,0,0.68,0,0.678
23,NOCCMSWQ,01/15/2016 23:15, ,0,CMS Pier,0,5.8,11.8,0,35.07,0,22.1,0,94.3,0,8.9,0,7.9,0,-84.1,6,0,3.62,0,0.69,0,0.693
24,NOCCMSWQ,01/15/2016 23:30, ,0,CMS Pier,0,5.8,11.9,0,35.35,0,22.3,0,94.2,0,8.9,0,7.9,0,-84.2,5,0,3.05,0,0.65,0,0.655
25,NOCCMSWQ,01/15/2016 23:45, ,0,CMS Pier,0,5.8,12.0,0,35.14,0,22.1,0,94.3,0,8.9,0,7.9,0,-84,6,0,3.21,0,0.57,0,0.567
26,NOCCMSWQ,01/16/2016 00:00, ,0,CMS Pier,0,5.8,12.0,0,34.69,0,21.8,0,94.6,0,8.9,0,7.9,0,-83.7,7,0,3.36,0,0.50,0,0.497
27,NOCCMSWQ,01/16/2016 00:15, ,0,CMS Pier,0,5.8,12.1,0,34.78,0,21.9,0,94.5,0,8.9,0,7.9,0,-83.2,11,0,4.03,0,0.47,0,0.468
28,NOCCMSWQ,01/16/2016 00:30, ,0,CMS Pier,0,5.8,12.1,0,35.05,0,22.1,0,94.8,0,8.9,0,7.9,0,-83,11,0,4.05,0,0.48,0,0.486
29,NOCCMSWQ,01/16/2016 00:45, ,0,CMS Pier,0,5.8,12.2,0,35.19,0,22.2,0,94.5,0,8.8,0,7.9,0,-82.9,8,0,3.57,0,0.59,0,0.587
30,NOCCMSWQ,01/16/2016 01:00, ,0,CMS Pier,0,5.8,12.2,0,35.18,0,22.2,0,94.1,0,8.8,0,7.9,0,-82.6,8,0,3.27,0,0.69,0,0.692
31,NOCCMSWQ,01/16/2016 01:15, ,0,CMS Pier,0,5.8,12.3,0,35.29,0,22.2,0,94.0,0,8.8,0,7.9,0,-83.5,10,0,4.23,0,0.79,0,0.787
32,NOCCMSWQ,01/16/2016 01:30, ,0,CMS Pier,0,5.8,12.3,0,35.39,0,22.3,0,94.1,0,8.8,0,7.9,0,-83.2,7,0,3.86,0,0.86,0,0.862
33,NOCCMSWQ,01/16/2016 01:45, ,0,CMS Pier,0,5.8,12.3,0,35.68,0,22.5,0,94.4,0,8.8,0,7.9,0,-83.8,7,0,3.8,0,0.90,0,0.894
34,NOCCMSWQ,01/16/2016 02:00, ,0,CMS Pier,0,5.8,12.3,0,35.83,0,22.6,0,93.9,0,8.7,0,7.9,0,-84,11,0,4.07,0,0.88,0,0.88
35,NOCCMSWQ,01/16/2016 02:15, ,0,CMS Pier,0,5.8,12.4,0,35.24,0,22.2,0,94.8,0,8.8,0,7.9,0,-82.9,10,0,3.75,0,0.86,0,0.86
36,NOCCMSWQ,01/16/2016 02:30, ,0,CMS Pier,0,5.8,12.4,0,34.80,0,21.9,0,94.4,0,8.8,0,7.9,0,-83.8,9,0,3.81,0,0.88,0,0.881
37,NOCCMSWQ,01/16/2016 02:45, ,0,CMS Pier,0,5.8,12.4,0,34.77,0,21.9,0,94.3,0,8.8,0,7.9,0,-83.7,9,0,3.66,0,0.89,0,0.888
38,NOCCMSWQ,01/16/2016 03:00, ,0,CMS Pier,0,5.8,12.5,0,34.23,0,21.5,0,94.2,0,8.8,0,7.9,0,-83.2,9,0,3.84,0,0.86,0,0.86
39,NOCCMSWQ,01/16/2016 03:15, ,0,CMS Pier,0,5.8,12.5,0,34.44,0,21.6,0,94.1,0,8.8,0,7.9,0,-83.1,10,0,3.87,0,0.88,0,0.881
40,NOCCMSWQ,01/16/2016 03:30, ,0,CMS Pier,0,5.8,12.5,0,34.13,0,21.4,0,94.1,0,8.8,0,7.9,0,-82.5,11,0,3.99,0,0.91,0,0.912
41,NOCCMSWQ,01/16/2016 03:45, ,0,CMS Pier,0,5.8,12.5,0,35.11,0,22.1,0,94.1,0,8.7,0,7.9,0,-83.8,12,0,4.91,0,0.96,0,0.961
42,NOCCMSWQ,01/16/2016 04:00, ,0,CMS Pier,0,5.8,12.6,0,35.52,0,22.4,0,94.2,0,8.7,0,7.9,0,-84.2,14,0,4.76,0,1.03,0,1.03
43,NOCCMSWQ,01/16/2016 04:15, ,0,CMS Pier,0,5.8,12.5,0,34.85,0,21.9,0,93.6,0,8.7,0,7.9,0,-83.7,11,0,4.66,0,1.11,0,1.106
44,NOCCMSWQ,01/16/2016 04:30, ,0,CMS Pier,0,5.8,12.5,0,34.50,0,21.7,0,93.6,0,8.7,0,7.9,0,-83.1,7,0,4.15,0,1.15,0,1.154
45,NOCCMSWQ,01/16/2016 04:45, ,0,CMS Pier,0,5.8,12.5,0,34.41,0,21.6,0,93.5,0,8.7,0,7.9,0,-83.2,8,0,4.47,0,1.21,0,1.208
46,NOCCMSWQ,01/16/2016 05:00, ,0,CMS Pier,0,5.8,12.4,0,33.53,0,21.0,0,93.3,0,8.7,0,7.9,0,-83.7,8,0,4.94,0,1.27,0,1.269
47,NOCCMSWQ,01/16/2016 05:15, ,0,CMS Pier,0,5.8,12.4,0,34.46,0,21.7,0,93.7,0,8.7,0,7.9,0,-83.2,6,0,4.45,0,1.35,0,1.355
48,NOCCMSWQ,01/16/2016 05:30, ,0,CMS Pier,0,5.8,12.4,0,34.38,0,21.6,0,93.5,0,8.7,0,7.9,0,-83.1,7,0,4.36,0,1.41,0,1.404
49,NOCCMSWQ,01/16/2016 05:45, ,0,CMS Pier,0,5.8,12.4,0,34.24,0,21.5,0,93.5,0,8.7,0,7.9,0,-83.3,6,0,4.4,0,1.46,0,1.459
50,NOCCMSWQ,01/16/2016 06:00, ,0,CMS Pier,0,5.8,12.3,0,33.15,0,20.8,0,93.4,0,8.8,0,7.9,0,-83.4,6,0,4.27,0,1.48,0,1.478
51,NOCCMSWQ,01/16/2016 06:15, ,0,CMS Pier,0,5.8,12.3,0,32.80,0,20.5,0,93.2,0,8.8,0,7.9,0,-83.1,6,0,3.93,0,1.46,0,1.462
52,NOCCMSWQ,01/16/2016 06:30, ,0,CMS Pier,0,5.8,12.3,0,32.74,0,20.5,0,93.1,0,8.8,0,7.9,0,-82.9,14,0,4.79,0,1.43,0,1.425
53,NOCCMSWQ,01/16/2016 06:45, ,0,CMS Pier,0,5.8,12.3,0,32.80,0,20.5,0,93.0,0,8.8,0,7.9,0,-82.9,9,0,4.18,0,1.37,0,1.37
54,NOCCMSWQ,01/16/2016 07:00, ,0,CMS Pier,0,5.8,12.2,0,31.64,0,19.7,0,93.4,0,8.9,0,7.9,0,-83,11,0,4.51,0,1.31,0,1.314
55,NOCCMSWQ,01/16/2016 07:15, ,0,CMS Pier,0,5.8,12.2,0,31.76,0,19.8,0,93.2,0,8.8,0,7.9,0,-82.8,9,0,4.44,0,1.26,0,1.254
