RowID,Station Code,DateTimeStamp,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Turb,F_Turb,ChlFluor,F_ChlFluor,Depth,F_Depth
2,NOCCMSWQ,07/13/2016 14:30, ,0,CMS Pier,0,5.9,30.0,<0> (CND),50.39,<0> (CND),32.9,<0> (CND),95.1,<0> (CND),6.0,<0> (CND),7.6,<0> (CND),-96.2,10,<0> (CND),16.99,<0> (CND),1.88,<0> (CND)
3,NOCCMSWQ,07/13/2016 14:45, ,0,CMS Pier,0,6,30.0,0,50.63,0,33.1,0,96.9,0,6.1,0,7.6,0,-97.6,7,0,12.15,0,1.91,0
4,NOCCMSWQ,07/13/2016 15:00, ,0,CMS Pier,0,6,29.9,0,51.38,0,33.6,0,97.1,0,6.1,0,7.7,0,-99.3,9,0,7.99,0,1.92,0
5,NOCCMSWQ,07/13/2016 15:15, ,0,CMS Pier,0,6,29.9,0,51.88,0,34.0,0,97.0,0,6.1,0,7.7,0,-100.2,6,0,8.66,0,1.92,0
6,NOCCMSWQ,07/13/2016 15:30, ,0,CMS Pier,0,6,29.8,0,52.35,0,34.3,0,98.5,0,6.2,0,7.7,0,-101.2,6,0,8.97,0,1.90,0
7,NOCCMSWQ,07/13/2016 15:45, ,0,CMS Pier,0,6,29.8,0,52.35,0,34.3,0,97.5,0,6.1,0,7.7,0,-101.5,7,0,9.2,0,1.86,0
8,NOCCMSWQ,07/13/2016 16:00, ,0,CMS Pier,0,6,30.8,0,46.51,0,30.0,0,109.2,0,6.9,0,7.6,0,-98,7,0,11.57,0,1.83,0
9,NOCCMSWQ,07/13/2016 16:15, ,0,CMS Pier,0,6,31.2,0,45.94,0,29.6,0,113.4,0,7.2,0,7.6,0,-98.3,13,0,11.97,0,1.79,0
10,NOCCMSWQ,07/13/2016 16:30, ,0,CMS Pier,0,6,31.2,0,45.70,0,29.4,0,114.3,0,7.2,0,7.6,0,-98.2,8,0,11.51,0,1.74,0
11,NOCCMSWQ,07/13/2016 16:45, ,0,CMS Pier,0,6,31.1,0,45.37,0,29.2,0,118.9,0,7.5,0,7.7,0,-100.1,7,0,12.22,0,1.69,0
12,NOCCMSWQ,07/13/2016 17:00, ,0,CMS Pier,0,6,31.1,0,45.34,0,29.2,0,118.0,0,7.5,0,7.7,0,-99.6,8,0,12.05,0,1.65,0
13,NOCCMSWQ,07/13/2016 17:15, ,0,CMS Pier,0,6,31.2,0,44.69,0,28.7,0,119.1,0,7.5,0,7.7,0,-99.7,8,0,10.83,0,1.61,0
14,NOCCMSWQ,07/13/2016 17:30, ,0,CMS Pier,0,6,31.2,0,43.88,0,28.1,0,121.2,0,7.7,0,7.7,0,-100.7,8,0,11.73,0,1.56,0
15,NOCCMSWQ,07/13/2016 17:45, ,0,CMS Pier,0,6,31.3,0,43.54,0,27.9,0,121.0,0,7.7,0,7.7,0,-100.8,9,0,11.28,0,1.51,0
16,NOCCMSWQ,07/13/2016 18:00, ,0,CMS Pier,0,6.1,31.3,0,43.13,0,27.6,0,120.7,0,7.7,0,7.7,0,-101,9,0,11.89,0,1.47,0
17,NOCCMSWQ,07/13/2016 18:15, ,0,CMS Pier,0,6.1,31.2,0,43.12,0,27.6,0,118.3,0,7.5,0,7.7,0,-100.5,9,0,11.07,0,1.42,0
18,NOCCMSWQ,07/13/2016 18:30, ,0,CMS Pier,0,6.1,31.2,0,43.01,0,27.5,0,116.6,0,7.4,0,7.7,0,-100,10,0,10.99,0,1.38,0
19,NOCCMSWQ,07/13/2016 18:45, ,0,CMS Pier,0,6.1,31.2,0,43.00,0,27.5,0,114.5,0,7.3,0,7.7,0,-99.2,10,0,11.51,0,1.33,0
20,NOCCMSWQ,07/13/2016 19:00, ,0,CMS Pier,0,6.1,31.1,0,42.69,0,27.3,0,114.4,0,7.3,0,7.7,0,-99.5,11,0,11.27,0,1.28,0
21,NOCCMSWQ,07/13/2016 19:15, ,0,CMS Pier,0,6.1,31.0,0,41.98,0,26.8,0,115.5,0,7.4,0,7.7,0,-100.7,9,0,10.52,0,1.23,0
22,NOCCMSWQ,07/13/2016 19:30, ,0,CMS Pier,0,6.1,31.0,0,42.55,0,27.2,0,112.5,0,7.2,0,7.7,0,-99,9,0,10.09,0,1.19,0
23,NOCCMSWQ,07/13/2016 19:45, ,0,CMS Pier,0,6.1,31.0,0,42.20,0,26.9,0,110.2,0,7.1,0,7.6,0,-98.4,11,0,10.32,0,1.14,0
24,NOCCMSWQ,07/13/2016 20:00, ,0,CMS Pier,0,6.1,31.0,0,42.08,0,26.8,0,109.5,0,7.0,0,7.6,0,-98.1,10,0,8.95,0,1.09,0
25,NOCCMSWQ,07/13/2016 20:15, ,0,CMS Pier,0,6.1,31.0,0,42.19,0,26.9,0,107.3,0,6.9,0,7.6,0,-97.2,11,0,9.92,0,1.04,0
26,NOCCMSWQ,07/13/2016 20:30, ,0,CMS Pier,0,6.1,30.9,0,41.76,0,26.6,0,107.5,0,6.9,0,7.6,0,-97.7,10,0,9.79,0,1.00,0
27,NOCCMSWQ,07/13/2016 20:45, ,0,CMS Pier,0,6.1,31.0,0,41.44,0,26.4,0,108.1,0,7.0,0,7.6,0,-98.5,10,0,10.09,0,0.96,0
28,NOCCMSWQ,07/13/2016 21:00, ,0,CMS Pier,0,6.1,31.0,0,41.54,0,26.5,0,105.6,0,6.8,0,7.6,0,-97.4,13,0,7.73,0,0.94,0
29,NOCCMSWQ,07/13/2016 21:15, ,0,CMS Pier,0,6.1,30.8,0,41.85,0,26.7,0,102.2,0,6.6,0,7.6,0,-95.7,11,0,9.07,0,0.92,0
30,NOCCMSWQ,07/13/2016 21:30, ,0,CMS Pier,0,6.1,31.2,0,41.47,0,26.4,0,103.8,0,6.7,0,7.6,0,-97.6,11,0,9.92,0,0.92,0
31,NOCCMSWQ,07/13/2016 21:45, ,0,CMS Pier,0,6.1,31.0,0,41.56,0,26.5,0,102.0,0,6.6,0,7.6,0,-96.8,13,0,9.32,0,0.93,0
32,NOCCMSWQ,07/13/2016 22:00, ,0,CMS Pier,0,6.1,31.2,0,41.54,0,26.5,0,100.5,0,6.5,0,7.6,0,-96.6,11,0,9.19,0,0.95,0
33,NOCCMSWQ,07/13/2016 22:15, ,0,CMS Pier,0,6.1,31.3,0,41.82,0,26.7,0,98.7,0,6.3,0,7.6,0,-96.2,10,0,8.75,0,0.97,0
34,NOCCMSWQ,07/13/2016 22:30, ,0,CMS Pier,0,6.1,31.2,0,41.83,0,26.7,0,97.9,0,6.3,0,7.6,0,-95.9,9,0,9.3,0,1.00,0
35,NOCCMSWQ,07/13/2016 22:45, ,0,CMS Pier,0,6.1,31.1,0,41.84,0,26.7,0,96.3,0,6.2,0,7.6,0,-95.4,9,0,8.59,0,1.05,0
