%
% Platform OB10
% Location 34 06.200 deg N  77 37.500 deg W
%
% Deployment depth  16 m
%
timestamp_utc,sitedepth,location,temp,salinity,pressure,depth,oxsat,xmiss,ph,fluo,secchi,chl,chlstd,dsi,dsistd,no3,no3std,po4,po4std,nh4,nh4std,tn,tnstd,tp,tpstd,castnum,bottle,bottletime,latte,samplenum,turbidity,latitude,longitude,scan,density,timej,par,conductivity,filename
2000-06-14,16.8,S,,,,,,,,,,0.037,0.018,,,,,,,,,,,,,06120002,,2000-06-13 00:00:00,,P07,,,,,,,,,
2000-09-12,16.5,S,,,,,,,,,,0.268,0.042,,,,,,,,,,,,,09110002,,2000-09-12 00:00:00,,P05,,,,,,,,,
2000-10-17,17.4,S,,,,,,,,,,0.155,0.027,,,,,,,,,,,,,10160003,,2000-10-17 00:00:00,,P01,,,,,,,,,
2000-11-13,17.4,S,,,,,,,,,,0.169,0.019,,,,,,,,,,,,,11130002,,2000-11-13 00:00:00,,P03,,,,,,,,,
2003-01-14,17.7,S,,,,,,,,,5,1.65,0.085,,,,,,,,,,,,,09050201,,2003-01-14 00:00:00,,181,,,,,,,,,
2003-03-12,17.1,S,,,,,,,,,,0.327,0.018,,,,,,,,,,,,,03120300,,2003-03-12 00:00:00,,190,,,,,,,,,
2003-05-02,17.4,S,,,,,,,,,8,0.12,0.006,,,,,,,,,,,,,05010300,,2003-05-01 00:00:00,,203,,,,,,,,,
2003-07-01,17.4,S,,,,,,,,,15.5,0.137,0.019,,,,,,,,,,,,,07010300,,2003-07-01 00:00:00,,219,,,,,,,,,
2003-11-05,17.2,S,23.9152,36.8033,1.007,1,6.8113,,8.501,,14,0.118,0.005,,,,,,,,,,,,,11050302,,2003-11-05 14:23:00,0.175394,255,,,,,,,,,
2004-01-08,,,12.5045,35.2496,0.936,0.93,,,,,,,,,,,,,,,,,,,,1922,1,2004-01-08 14:41:15,,,,,,2959,27,9,,4.07439,010804ob10raw.btl
2004-01-08,,,12.5017,35.2524,0.947,0.941,,,,,,,,,,,,,,,,,,,,1919,4,2004-01-08 14:41:22,,,,,,3014,27,9,,4.0744,010804ob10raw.btl
2004-01-08,,,12.5041,35.2505,0.98,0.974,,,,,,,,,,,,,,,,,,,,1921,2,2004-01-08 14:41:18,,,,,,2980,27,9,,4.07444,010804ob10raw.btl
2004-01-08,18.1,S,12.5036,35.2511,0.986,0.979,,,,,7,0.827,0.006,,,,,,,,,,,,,1920,3,2004-01-08 14:41:20,0.306123,267,,,,2997,27,9,,4.07446,010804ob10raw.btl
2004-03-09,,,10.2055,34.4876,0.743,0.737,8.70675,,7.674,0.8272,,,,,,,,,,,,,,,,1909,2,2004-03-09 16:17:57,,,3.94496,34.103,-77.6252,2017,27,70,,3.77815,030905ob10raw.btl
2004-03-09,15.5,S,10.204,34.4857,0.765,0.76,8.70636,,7.576,0.8309,12.4,0.111,0.009,,,,,,,,,,,,,1910,1,2004-03-09 16:17:53,0.210909,279,3.94603,34.103,-77.6252,1985,27,70,,3.77783,030905ob10raw.btl
2004-03-09,,,10.231,34.4832,0.782,0.776,8.70492,,7.905,0.8331,,,,,,,,,,,,,,,,1908,3,2004-03-09 16:18:03,,,3.94638,34.103,-77.6252,2065,27,70,,3.78012,030905ob10raw.btl
2004-03-09,,,10.2382,34.4875,0.837,0.831,8.70395,,8.029,0.8301,,,,,,,,,,,,,,,,1907,4,2004-03-09 16:18:07,,,3.94638,34.103,-77.6252,2097,27,70,,3.78121,030905ob10raw.btl
2004-05-06,,,18.7722,35.3117,0.894,0.887,,,,,,,,,,,,,,,,,,,,1389,10,2004-05-06 14:11:09,,,,,,3674,25,128,,4.7046,050504ob10raw.btl
2004-05-06,,,18.7789,35.3063,0.91,0.904,,,,,,,,,,,,,,,,,,,,1388,11,2004-05-06 14:11:15,,,,,,3721,25,128,,4.70464,050504ob10raw.btl
2004-05-06,,,18.7667,35.3158,0.916,0.909,,,,,,,,,,,,,,,,,,,,1930,9,2004-05-06 14:11:03,,,,,,3629,25,128,,4.70453,050504ob10raw.btl
2004-05-06,,,18.7796,35.3055,0.938,0.931,,,,,,,,,,,,,,,,,,,,1387,12,2004-05-06 14:11:18,,,,,,3752,25,128,,4.70463,050504ob10raw.btl
2004-05-06,,,18.7733,35.3077,1.021,1.014,,,,,,,,,,,,,,,,,,,,1932,7,2004-05-06 14:10:36,,,,,,3409,25,128,,4.70425,050504ob10raw.btl
2004-05-06,18,S,18.7674,35.3125,1.033,1.025,,,,,20,0.096,0.002,,,,,,,,,,,,,1931,8,2004-05-06 14:10:40,0.147233,291,,,,3444,25,128,,4.70421,050504ob10raw.btl
2004-05-06,,,18.7775,35.3011,1.044,1.036,,,,,,,,,,,,,,,,,,,,1934,5,2004-05-06 14:10:21,,,,,,3294,25,128,,4.70389,050504ob10raw.btl
2004-05-06,,,18.7773,35.3005,1.049,1.042,,,,,,,,,,,,,,,,,,,,1933,6,2004-05-06 14:10:27,,,,,,3340,25,128,,4.70379,050504ob10raw.btl
2004-05-06,,,18.7319,35.2369,8.522,8.461,,,,,,,,,,,,,,,,,,,,1936,3,2004-05-06 14:09:14,,,,,,2753,25,128,,4.69197,050504ob10raw.btl
2004-05-06,,,18.7314,35.248,8.572,8.511,,,,,,,,,,,,,,,,,,,,1935,4,2004-05-06 14:09:19,,,,,,2796,25,128,,4.69324,050504ob10raw.btl
2004-05-06,,,18.179,35.8335,17.625,17.499,,,,,,,,,,,,,,,,,,,,1938,1,2004-05-06 14:07:34,,,,,,1959,26,128,,4.70631,050504ob10raw.btl
2004-05-06,,,18.1757,35.8361,17.848,17.719,,,,,,,,,,,,,,,,,,,,1937,2,2004-05-06 14:07:37,,,,,,1979,26,128,,4.70629,050504ob10raw.btl
2004-07-28,,,27.6379,35.9174,1.616,1.604,,,,,,,,,,,,,,,,,,,,1714,3,2004-07-28 13:45:32,,,,,,2411,23,211,,5.71417,072704ob10raw.btl
2004-07-28,,,27.6367,35.9235,1.828,1.816,,,,,,,,,,,,,,,,,,,,1713,4,2004-07-28 13:45:34,,,,,,2427,23,211,,5.71491,072704ob10raw.btl
2004-07-28,16.5,S,27.639,35.8744,1.86,1.847,,,,,14,0.186,0.023,,,,,,,,,,,,,1716,1,2004-07-28 13:45:27,0.183916,303,,,,2370,23,211,,5.70824,072704ob10raw.btl
2004-07-28,,,27.6383,35.9091,2.019,2.004,,,,,,,,,,,,,,,,,,,,1715,2,2004-07-28 13:45:30,,,,,,2395,23,211,,5.71307,072704ob10raw.btl
2004-09-24,,,24.5716,35.6315,0.832,0.826,,,,,,,,,,,,,,,,,,,,1752,3,2004-09-24 13:33:30,,,,,,2349,24,269,,5.34673,092304ob10raw.btl
2004-09-24,15.9,S,24.5709,35.6344,1.016,1.009,,,,,,0.5,0.022,,,,,,,,,,,,,1753,2,2004-09-24 13:33:27,0.284535,315,,,,2324,24,269,,5.34705,092304ob10raw.btl
2004-09-24,,,24.5713,35.6326,1.027,1.02,,,,,,,,,,,,,,,,,,,,1751,4,2004-09-24 13:33:34,,,,,,2382,24,269,,5.34685,092304ob10raw.btl
2004-09-24,,,24.5711,35.6342,1.105,1.097,,,,,,,,,,,,,,,,,,,,1754,1,2004-09-24 13:33:25,,,,,,2307,24,269,,5.34704,092304ob10raw.btl
2004-09-24,,,24.5709,35.6331,1.183,1.174,,,,,,,,,,,,,,,,,,,,1750,5,2004-09-24 13:33:37,,,,,,2405,24,269,,5.34688,092304ob10raw.btl
2004-10-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-01 00:00:00,,,,,,,,,,,
2004-10-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-01 00:00:00,,,,,,,,,,,
2004-10-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-01 00:00:00,,,,,,,,,,,
2004-10-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-01 00:00:00,,,,,,,,,,,
2004-11-16,,,18.3889,35.1301,0.571,0.567,,,,,,,,,,,,,,,,,,,,1825,8,2004-11-16 14:24:56,,,,,,2482,25,322,,4.64428,111604ob10raw.btl
2004-11-16,,,18.3925,35.1284,0.827,0.821,,,,,,,,,,,,,,,,,,,,1828,5,2004-11-16 14:24:38,,,,,,2343,25,322,,4.64447,111604ob10raw.btl
2004-11-16,17.6,S,18.3915,35.1296,0.838,0.832,,,,,,0.1,0.005,,,,,,,,,,,,,1827,6,2004-11-16 14:24:43,0.191725,327,,,,2381,25,322,,4.6445,111604ob10raw.btl
2004-11-16,,,18.3899,35.1309,0.905,0.898,,,,,,,,,,,,,,,,,,,,1826,7,2004-11-16 14:24:49,,,,,,2427,25,322,,4.6445,111604ob10raw.btl
2004-11-16,,,18.3969,35.1255,9.194,9.129,,,,,,,,,,,,,,,,,,,,1829,4,2004-11-16 14:23:48,,,,,,1938,25,322,,4.64493,111604ob10raw.btl
2004-11-16,,,18.3963,35.1256,9.294,9.228,,,,,,,,,,,,,,,,,,,,1830,3,2004-11-16 14:23:40,,,,,,1878,25,322,,4.64489,111604ob10raw.btl
2004-11-16,,,18.3902,35.1254,17.457,17.332,,,,,,,,,,,,,,,,,,,,1831,2,2004-11-16 14:22:34,,,,,,1346,25,322,,4.64461,111604ob10raw.btl
2004-11-16,,,18.3935,35.1245,17.713,17.586,,,,,,,,,,,,,,,,,,,,1832,1,2004-11-16 14:22:32,,,,,,1330,25,322,,4.64485,111604ob10raw.btl
2004-12-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-01 00:00:00,,,,,,,,,,,
2004-12-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-01 00:00:00,,,,,,,,,,,
2004-12-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-01 00:00:00,,,,,,,,,,,
2004-12-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-01 00:00:00,,,,,,,,,,,
2005-01-19,,,10.712,35.0408,0.259,0.258,8.67482,,7.702,,,,,,,,,,,,,,,,,1810,4,2005-01-19 15:39:25,,,,,,2599,27,20,,3.88065,011905ob10raw.btl
2005-01-19,,,10.717,35.0424,0.376,0.373,8.6714,,7.644,,,,,,,,,,,,,,,,,1812,2,2005-01-19 15:39:21,,,,,,2562,27,20,,3.88129,011905ob10raw.btl
2005-01-19,,,10.7126,35.0418,0.393,0.39,8.67402,,7.681,,,,,,,,,,,,,,,,,1811,3,2005-01-19 15:39:23,,,,,,2580,27,20,,3.88082,011905ob10raw.btl
2005-01-19,18.6,S,10.7192,35.0415,0.414,0.411,8.66999,,7.624,,,0.2,0.03,,,,,,,,,,,,,1813,1,2005-01-19 15:39:19,0.216846,339,,,,2546,27,20,,3.88141,011905ob10raw.btl
2005-02-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-09,15.9,S,10.2045,34.4851,0.797,0.792,,,,,,0.2,0.018,,,,,,,,,,,,,03090502,1,2005-03-09 16:17:56,0.269505,351,,,,,,,,,
2005-04-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-12,,,18.87,34.7986,1.137,1.129,7.35834,,8.2,,,,,,,,,,,,,,,,,1876,4,2005-05-12 13:49:54,,,,34.1047,-77.6237,2422,25,133,,4.65342,051205ob10raw.btl
2005-05-12,16.9,S,18.8044,34.7992,1.159,1.151,7.3668,,8.191,,,0.2,,,,,,,,,,,,,,1879,1,2005-05-12 13:49:31,0.168241,363,,34.1047,-77.6238,2236,25,133,,4.64692,051205ob10raw.btl
