%
% Platform OB27M
% Location 33 59.646 deg N  77 21.144 deg W
% Quality  0 = not evaluated, 1 = bad, 2 = suspect, 3 = good, -9 = missing
%
% fluorescence (RFU)
% depth (m)
%
timestamp_utc,depth,fluorescence,fluorescence_quality
2001-09-24 10:30:01,25,2.346,3
2001-09-24 10:40:01,25,1.788,3
2001-09-24 10:50:01,25,1.68,3
2001-09-24 11:00:01,25,1.653,3
2001-09-24 11:10:01,25,0.837,3
2001-09-24 11:20:01,25,1.707,3
2001-09-24 11:30:01,25,0.682,3
2001-09-24 11:40:01,25,0.582,3
2001-09-24 11:50:01,25,0.628,3
2001-09-24 12:00:01,25,0.683,3
2001-09-24 12:10:01,25,1.354,3
2001-09-24 12:20:01,25,0.681,3
2001-09-24 12:30:01,25,0.686,3
2001-09-24 12:40:01,25,0.868,3
2001-09-24 12:50:01,25,0.942,3
2001-09-24 13:00:01,25,1.044,3
2001-09-24 13:10:01,25,0.836,3
2001-09-24 13:20:01,25,1.188,3
2001-09-24 13:30:01,25,0.93,3
2001-09-24 13:40:01,25,0.966,3
2001-09-24 13:50:01,25,1.572,3
2001-09-24 14:00:01,25,1.227,3
2001-09-24 14:10:01,25,0.88,3
2001-09-24 14:20:01,25,1.01,3
2001-09-24 14:30:01,25,0.952,3
2001-09-24 14:40:01,25,0.944,3
2001-09-24 14:50:01,25,1.017,3
2001-09-24 15:00:01,25,1.003,3
2001-09-24 15:10:01,25,1.047,3
2001-09-24 15:20:01,25,1.059,3
2001-09-24 15:30:01,25,1.039,3
2001-09-24 15:40:01,25,1.225,3
2001-09-24 15:50:01,25,1.173,3
2001-09-24 16:00:01,25,1.219,3
2001-09-24 16:10:01,25,1.234,3
2001-09-24 16:20:01,25,1.313,3
2001-09-24 16:30:01,25,1.259,3
2001-09-24 16:40:01,25,1.254,3
2001-09-24 16:50:01,25,1.38,3
2001-09-24 17:00:01,25,1.359,3
2001-09-24 17:10:01,25,1.247,3
2001-09-24 17:20:01,25,1.21,3
2001-09-24 17:30:01,25,1.14,3
2001-09-24 17:40:01,25,1.141,3
2001-09-24 17:50:01,25,1.139,3
2001-09-24 18:00:01,25,1.13,3
2001-09-24 18:10:01,25,1.167,3
2001-09-24 18:20:01,25,1.395,3
2001-09-24 18:30:01,25,1.38,3
2001-09-24 18:40:01,25,1.316,3
2001-09-24 18:50:01,25,1.173,3
2001-09-24 19:00:01,25,1.268,3
2001-09-24 19:10:01,25,1.154,3
2001-09-24 19:20:01,25,1.257,3
2001-09-24 19:30:01,25,1.156,3
2001-09-24 19:40:01,25,1.121,3
2001-09-24 19:50:01,25,1.145,3
2001-09-24 20:00:01,25,1.171,3
2001-09-24 20:10:01,25,1.176,3
2001-09-24 20:20:01,25,1.355,3
2001-09-24 20:30:01,25,1.171,3
2001-09-24 20:40:01,25,1.133,3
2001-09-24 20:50:01,25,1.154,3
2001-09-24 21:00:01,25,1.227,3
2001-09-24 21:10:01,25,1.115,3
2001-09-24 21:20:01,25,1.147,3
2001-09-24 21:30:01,25,1.23,3
2001-09-24 21:40:01,25,1.133,3
2001-09-24 21:50:01,25,1.207,3
2001-09-24 22:00:01,25,1.219,3
2001-09-24 22:10:01,25,1.134,3
2001-09-24 22:20:01,25,1.189,3
2001-09-24 22:30:01,25,1.135,3
2001-09-24 22:40:01,25,1.363,3
2001-09-24 22:50:01,25,1.178,3
2001-09-24 23:00:01,25,1.251,3
2001-09-24 23:10:01,25,1.285,3
2001-09-24 23:20:01,25,1.184,3
2001-09-24 23:30:01,25,1.186,3
2001-09-24 23:40:01,25,1.142,3
2001-09-24 23:50:01,25,1.267,3
2001-09-25 00:00:01,25,1.273,3
2001-09-25 00:10:01,25,1.219,3
2001-09-25 00:20:01,25,1.299,3
2001-09-25 00:30:01,25,1.166,3
2001-09-25 00:40:01,25,1.299,3
2001-09-25 00:50:01,25,1.353,3
2001-09-25 01:00:01,25,1.306,3
2001-09-25 01:10:01,25,1.181,3
2001-09-25 01:20:01,25,1.216,3
2001-09-25 01:30:01,25,1.261,3
2001-09-25 01:40:01,25,1.28,3
2001-09-25 01:50:01,25,1.275,3
2001-09-25 02:00:01,25,1.614,3
2001-09-25 02:10:01,25,1.293,3
2001-09-25 02:20:01,25,1.335,3
2001-09-25 02:30:01,25,1.513,3
2001-09-25 02:40:01,25,1.479,3
2001-09-25 02:50:01,25,1.565,3
2001-09-25 03:00:01,25,1.508,3
