%
% Platform OB27M
% Location 33 59.646 deg N  77 21.144 deg W
% Quality  0 = not evaluated, 1 = bad, 2 = suspect, 3 = good, -9 = missing
%
% turbidity (NTU)
% depth (m)
%
timestamp_utc,depth,turbidity,turbidity_quality
2001-09-24 10:30:01,30,3.553,3
2001-09-24 10:40:01,30,2.929,3
2001-09-24 10:50:01,30,2.851,3
2001-09-24 11:00:01,30,2.821,3
2001-09-24 11:10:01,30,0.852,3
2001-09-24 11:20:01,30,1.08,3
2001-09-24 11:30:01,30,0.406,3
2001-09-24 11:40:01,30,0.395,3
2001-09-24 11:50:01,30,0.4,3
2001-09-24 12:00:01,30,0.388,3
2001-09-24 12:10:01,30,0.418,3
2001-09-24 12:20:01,30,0.425,3
2001-09-24 12:30:01,30,0.407,3
2001-09-24 12:40:01,30,0.416,3
2001-09-24 12:50:01,30,0.444,3
2001-09-24 13:00:01,30,0.445,3
2001-09-24 13:10:01,30,0.428,3
2001-09-24 13:20:01,30,0.802,3
2001-09-24 13:30:01,30,0.43,3
2001-09-24 13:40:01,30,0.418,3
2001-09-24 13:50:01,30,0.426,3
2001-09-24 14:00:01,30,0.467,3
2001-09-24 14:10:01,30,0.436,3
2001-09-24 14:20:01,30,0.532,3
2001-09-24 14:30:01,30,0.434,3
2001-09-24 14:40:01,30,0.43,3
2001-09-24 14:50:01,30,0.458,3
2001-09-24 15:00:01,30,0.428,3
2001-09-24 15:10:01,30,0.472,3
2001-09-24 15:20:01,30,0.437,3
2001-09-24 15:30:01,30,0.437,3
2001-09-24 15:40:01,30,0.783,3
2001-09-24 15:50:01,30,0.479,3
2001-09-24 16:00:01,30,0.487,3
2001-09-24 16:10:01,30,0.477,3
2001-09-24 16:20:01,30,0.494,3
2001-09-24 16:30:01,30,0.47,3
2001-09-24 16:40:01,30,0.466,3
2001-09-24 16:50:01,30,0.514,3
2001-09-24 17:00:01,30,0.498,3
2001-09-24 17:10:01,30,0.451,3
2001-09-24 17:20:01,30,0.467,3
2001-09-24 17:30:01,30,0.45,3
2001-09-24 17:40:01,30,0.487,3
2001-09-24 17:50:01,30,0.463,3
2001-09-24 18:00:01,30,0.461,3
2001-09-24 18:10:01,30,0.454,3
2001-09-24 18:20:01,30,0.47,3
2001-09-24 18:30:01,30,0.455,3
2001-09-24 18:40:01,30,0.469,3
2001-09-24 18:50:01,30,0.471,3
2001-09-24 19:00:01,30,0.474,3
2001-09-24 19:10:01,30,0.465,3
2001-09-24 19:20:01,30,0.476,3
2001-09-24 19:30:01,30,0.485,3
2001-09-24 19:40:01,30,0.461,3
2001-09-24 19:50:01,30,0.463,3
2001-09-24 20:00:01,30,0.483,3
2001-09-24 20:10:01,30,0.549,3
2001-09-24 20:20:01,30,0.498,3
2001-09-24 20:30:01,30,0.5,3
2001-09-24 20:40:01,30,0.488,3
2001-09-24 20:50:01,30,0.504,3
2001-09-24 21:00:01,30,0.487,3
2001-09-24 21:10:01,30,0.688,3
2001-09-24 21:20:01,30,0.488,3
2001-09-24 21:30:01,30,0.511,3
2001-09-24 21:40:01,30,0.522,3
2001-09-24 21:50:01,30,0.492,3
2001-09-24 22:00:01,30,0.562,3
2001-09-24 22:10:01,30,0.581,3
2001-09-24 22:20:01,30,0.516,3
2001-09-24 22:30:01,30,0.572,3
2001-09-24 22:40:01,30,0.579,3
2001-09-24 22:50:01,30,0.493,3
2001-09-24 23:00:01,30,0.496,3
2001-09-24 23:10:01,30,0.502,3
2001-09-24 23:20:01,30,0.496,3
2001-09-24 23:30:01,30,0.502,3
2001-09-24 23:40:01,30,0.49,3
2001-09-24 23:50:01,30,0.514,3
2001-09-25 00:00:01,30,0.533,3
2001-09-25 00:10:01,30,0.511,3
2001-09-25 00:20:01,30,0.501,3
2001-09-25 00:30:01,30,0.543,3
2001-09-25 00:40:01,30,0.508,3
2001-09-25 00:50:01,30,0.519,3
2001-09-25 01:00:01,30,0.53,3
