%
% Platform OBSB
% Location 34 10.500 deg N  77 47.900 deg W
%
% Deployment depth  10 m
%
timestamp_utc,sitedepth,location,temp,salinity,pressure,depth,oxsat,xmiss,ph,fluo,secchi,chl,chlstd,dsi,dsistd,no3,no3std,po4,po4std,nh4,nh4std,tn,tnstd,tp,tpstd,castnum,bottle,bottletime,latte,samplenum,turbidity,latitude,longitude,scan,density,timej,par,conductivity,filename
2003-01-14,10.7,S,,,,,,,,,5.5,0.863,0.062,,,,,,,,,,,,,01140302,,2003-01-14 00:00:00,,185,,,,,,,,,
2003-03-12,9.8,S,,,,,,,,,,1.271,0.096,,,,,,,,,,,,,01140302,,2003-03-12 00:00:00,,186,,,,,,,,,
2003-05-02,10.1,S,,,,,,,,,5,0.698,0.044,,,,,,,,,,,,,03120302,,2003-05-01 00:00:00,,198,,,,,,,,,
2003-07-01,10.4,S,,,,,,,,,6.5,0.441,0.026,,,,,,,,,,,,,05010301,,2003-07-01 00:00:00,,215,,,,,,,,,
2003-11-05,11,S,21.7417,33.8255,1.007,1,7.2007,,8.475,,3,0.842,0.042,,,,,,,,,,,,,11050300,,2003-11-05 12:38:00,0.470095,251,,,,,,,,,
2004-01-08,,,10.7388,35.3938,-0.125,-0.124,,,,,,,,,,,,,,,,,,,,1919,4,2004-01-08 13:10:35,,,,,,2914,27,9,,3.91823,010804obsbraw.btl
2004-01-08,,,10.7581,35.3796,-0.086,-0.085,,,,,,,,,,,,,,,,,,,,1921,2,2004-01-08 13:10:26,,,,,,2848,27,9,,3.91868,010804obsbraw.btl
2004-01-08,,,10.782,35.3392,-0.052,-0.052,,,,,,,,,,,,,,,,,,,,1917,6,2004-01-08 13:10:41,,,,,,2963,27,9,,3.91697,010804obsbraw.btl
2004-01-08,11.8,S,10.6954,35.4388,-0.041,-0.041,,,,,3,2.565,0.124,,,,,,,,,,,,,1920,3,2004-01-08 13:10:32,,263,,,,2895,27,9,,3.91851,010804obsbraw.btl
2004-01-08,,,10.7329,35.391,-0.041,-0.041,,,,,,,,,,,,,,,,,,,,1918,5,2004-01-08 13:10:38,,,,,,2937,27,9,,3.91739,010804obsbraw.btl
2004-01-08,,,11.4197,34.7754,11.691,11.607,,,,,,,,,,,,,,,,,,,,1922,1,2004-01-08 13:09:04,,,,,,2192,27,9,,3.92201,010804obsbraw.btl
2004-03-09,10,S,10.0669,33.8997,0.871,0.864,8.72446,,8.079,1.6376,7,0.365,0.018,,,,,,,,,,,,,1910,1,2004-03-09 13:49:30,0.210679,275,9.93046,34.1721,-77.7945,1771,26,70,,3.70752,030905obsbraw.btl
2004-03-09,,,10.0663,33.8967,1.098,1.09,8.72877,,8.104,1.6383,,,,,,,,,,,,,,,,1909,2,2004-03-09 13:49:33,,,9.92975,34.1721,-77.7945,1800,26,70,,3.70718,030905obsbraw.btl
2004-03-09,,,10.0669,33.8971,1.198,1.189,8.72875,,8.112,1.6383,,,,,,,,,,,,,,,,1908,3,2004-03-09 13:49:37,,,9.93081,34.1721,-77.7945,1831,26,70,,3.70728,030905obsbraw.btl
2004-03-09,,,10.0662,33.8974,1.215,1.206,8.72889,,8.21,1.6354,,,,,,,,,,,,,,,,1907,4,2004-03-09 13:49:44,,,9.9301,34.1721,-77.7945,1881,26,70,,3.70724,030905obsbraw.btl
2004-05-05,10.6,S,,,,,,,,,3,0.563,0.016,,,,,,,,,,,,,03090400,1,2004-05-05 00:00:00,0.456642,287,,,,,,,,,
2004-07-28,,,26.8032,35.9143,0.999,0.992,,,,,,,,,,,,,,,,,,,,1710,7,2004-07-28 12:00:04,,,,,,2270,23,211,,5.62357,072704obsbraw.btl
2004-07-28,,,26.8041,35.9399,1.002,0.995,,,,,,,,,,,,,,,,,,,,1708,9,2004-07-28 12:00:08,,,,,,2299,23,211,,5.62724,072704obsbraw.btl
2004-07-28,,,26.7597,35.9749,1.049,1.042,,,,,,,,,,,,,,,,,,,,1712,5,2004-07-28 12:00:00,,,,,,2236,24,210,,5.6273,072704obsbraw.btl
2004-07-28,,,26.8263,35.9049,1.078,1.07,,,,,,,,,,,,,,,,,,,,1709,8,2004-07-28 12:00:06,,,,,,2284,23,211,,5.62477,072704obsbraw.btl
2004-07-28,,,26.75,35.9037,1.099,1.091,,,,,,,,,,,,,,,,,,,,1714,3,2004-07-28 11:59:51,,,,,,2168,23,210,,5.61639,072704obsbraw.btl
2004-07-28,9.1,S,26.7435,35.8886,1.171,1.163,,,,,3,1.078,0.032,,,,,,,,,,,,,1716,1,2004-07-28 11:59:40,0.518044,299,,,,2077,23,210,,5.6136,072704obsbraw.btl
2004-07-28,,,26.8532,35.9136,1.271,1.262,,,,,,,,,,,,,,,,,,,,1711,6,2004-07-28 12:00:02,,,,,,2254,23,211,,5.62889,072704obsbraw.btl
2004-07-28,,,26.7518,35.9193,1.293,1.284,,,,,,,,,,,,,,,,,,,,1715,2,2004-07-28 11:59:47,,,,,,2131,23,210,,5.61874,072704obsbraw.btl
2004-07-28,,,26.7476,35.9371,1.432,1.422,,,,,,,,,,,,,,,,,,,,1713,4,2004-07-28 11:59:55,,,,,,2194,24,210,,5.62078,072704obsbraw.btl
2004-09-23,,,23.9911,34.3663,1.02,1.013,,,,,,,,,,,,,,,,,,,,1750,5,2004-09-24 11:52:12,,,,,,,,,,,09230400.BTL
2004-09-24,,,23.9984,34.3585,0.999,0.992,,,,,,,,,,,,,,,,,,,,1752,3,2004-09-24 11:52:10,,,,,,1529,23,268,,5.11788,092304obsbraw.btl
2004-09-24,,,23.9906,34.3621,1.002,0.995,,,,,,,,,,,,,,,,,,,,1751,4,2004-09-24 11:52:12,,,,,,1546,23,268,,5.11755,092304obsbraw.btl
2004-09-24,10,S,23.9923,34.384,1.027,1.02,,,,,,1.5,0.087,,,,,,,,,,,,,1754,1,2004-09-24 11:52:05,0.598398,311,,,,1496,23,268,,5.12063,092304obsbraw.btl
2004-09-24,,,23.9689,34.3911,1.126,1.118,,,,,,,,,,,,,,,,,,,,1753,2,2004-09-24 11:52:07,,,,,,1513,23,268,,5.11918,092304obsbraw.btl
2004-10-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-01 00:00:00,,,,,,,,,,,
2004-10-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-01 00:00:00,,,,,,,,,,,
2004-10-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-01 00:00:00,,,,,,,,,,,
2004-10-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-01 00:00:00,,,,,,,,,,,
2004-11-16,,,16.3138,34.0824,0.577,0.573,,,,,,,,,,,,,,,,,,,,1832,1,2004-11-16 12:59:06,,,,,,1540,25,322,,4.31786,111604obsbraw.btl
2004-11-16,,,16.2986,34.1313,0.831,0.825,,,,,,,,,,,,,,,,,,,,1828,5,2004-11-16 12:59:21,,,,,,1658,25,322,,4.32192,111604obsbraw.btl
2004-11-16,,,16.3034,34.1306,0.955,0.948,,,,,,,,,,,,,,,,,,,,1827,6,2004-11-16 12:59:23,,,,,,1675,25,322,,4.32232,111604obsbraw.btl
2004-11-16,10.7,S,16.3049,34.135,0.991,0.984,,,,,,0.5,0.058,,,,,,,,,,,,,1831,2,2004-11-16 12:59:14,0.45282,323,,,,1604,25,322,,4.32296,111604obsbraw.btl
2004-11-16,,,16.3034,34.1357,1.02,1.013,,,,,,,,,,,,,,,,,,,,1826,7,2004-11-16 12:59:25,,,,,,1691,25,322,,4.32289,111604obsbraw.btl
2004-11-16,,,16.2992,34.1321,1.049,1.042,,,,,,,,,,,,,,,,,,,,1829,4,2004-11-16 12:59:19,,,,,,1647,25,322,,4.32208,111604obsbraw.btl
2004-11-16,,,16.3052,34.1325,1.226,1.217,,,,,,,,,,,,,,,,,,,,1830,3,2004-11-16 12:59:16,,,,,,1619,25,322,,4.32273,111604obsbraw.btl
2004-12-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-01 00:00:00,,,,,,,,,,,
2004-12-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-01 00:00:00,,,,,,,,,,,
2004-12-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-01 00:00:00,,,,,,,,,,,
2004-12-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-01 00:00:00,,,,,,,,,,,
2005-01-19,,,9.3781,34.3774,0.543,0.539,8.90709,,5.808,,,,,,,,,,,,,,,,,1811,3,2005-01-19 13:51:08,,,,,,1812,27,20,,3.69031,011905obsbraw.btl
2005-01-19,10.4,S,9.3822,34.3732,0.682,0.677,8.90506,,5.868,,,0.4,0.006,,,,,,,,,,,,,1812,2,2005-01-19 13:51:05,0.406418,335,,,,1792,27,20,,3.69029,011905obsbraw.btl
2005-01-19,,,8.8011,34.486,10.818,10.741,8.99474,,7.917,,,,,,,,,,,,,,,,,1813,1,2005-01-19 13:50:03,,,,,,1292,27,20,,3.64771,011905obsbraw.btl
2005-02-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-09,10.7,S,10.0672,33.8995,0.848,0.842,,,,,,0.6,0.13,,,,,,,,,,,,,03090500,1,2005-03-09 13:49:30,0.596574,347,,,,,,,,,
2005-04-01,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-12,,,18.9706,33.8479,0.659,0.655,7.19478,,7.239,,,,,,,,,,,,,,,,,1878,2,2005-05-12 12:09:07,,,,34.1748,-77.7967,1832,24,133,,4.54964,051205obsbraw.btl
2005-05-12,,,18.9707,33.8465,0.715,0.71,7.24372,,8.011,,,,,,,,,,,,,,,,,1875,5,2005-05-12 12:09:26,,,,34.1748,-77.7967,1983,24,133,,4.54949,051205obsbraw.btl
