% 
% Platform OCP1
% Location 34 28.580 deg N  77 16.783 deg W
% Quality  1 = good, 2 = suspect, 3 = suspect
% 
% Depth  0 m
%
# sea_surface_wave_significant_height (m)
# sea_surface_wave_from_direction (deg N)
# sea_surface_dominant_wave_period (s)
%
timestamp_utc,sea_surface_wave_significant_height,sea_surface_wave_from_direction,sea_surface_dominant_wave_period
2006-05-25 21:53:51,0.53,201,4.5
2006-05-25 22:53:51,0.66,182,4.7
2006-05-25 23:53:52,0.76,173,4.7
2006-05-26 00:53:52,0.75,165,4.4
2006-05-26 01:53:52,0.74,189,5.3
2006-05-26 02:53:52,0.87,172,5.3
2006-05-26 03:53:52,0.97,201,5.8
2006-05-26 15:53:54,0.8,177,6.7
2006-05-26 18:50:26,0.97,189,6.7
2006-05-26 19:50:17,1.17,178,5.8
2006-05-26 20:50:08,1.16,186,6
2006-05-31 15:48:55,0.29,177,5.8
2006-05-31 16:48:55,0.31,169,4.9
2006-05-31 17:48:55,0.32,173,4.1
2006-05-31 18:48:55,0.37,181,6.4
2006-05-31 19:48:55,0.39,165,5.8
2006-05-31 20:48:55,0.37,194,5.5
2006-05-31 21:48:55,0.4,173,5.5
2006-05-31 22:48:55,0.4,173,5.5
2006-05-31 23:48:55,0.48,161,5.3
2006-06-01 00:48:55,0.47,193,6
2006-06-01 01:48:56,0.48,181,5.1
2006-06-01 02:48:56,0.43,185,5.5
2006-06-01 03:48:56,0.43,177,5.5
2006-06-01 04:48:55,0.39,177,5.1
2006-06-01 05:48:55,0.35,189,6
2006-06-01 06:48:56,0.34,189,6.7
2006-06-01 07:48:56,0.34,182,6
2006-06-01 08:48:56,0.36,169,5.8
2006-06-01 09:48:56,0.37,183,6
2006-06-01 10:48:57,0.42,193,6.4
2006-06-01 11:48:56,0.45,175,4.9
2006-06-01 12:48:56,0.5,191,6
2006-06-01 13:48:57,0.51,190,5.5
2006-06-01 14:48:56,0.5,181,5.8
2006-06-01 15:48:57,0.52,181,6.4
2006-06-01 16:48:57,0.5,190,6.4
2006-06-01 17:48:57,0.55,199,6.7
2006-06-01 18:48:57,0.5,193,6
2006-06-01 19:48:57,0.48,194,6.4
2006-06-01 20:48:57,0.45,174,5.8
2006-06-01 21:48:57,0.47,201,7.1
2006-06-01 22:48:57,0.45,209,7.1
2006-06-01 23:48:58,0.45,193,7.1
2006-06-02 00:48:57,0.49,204,6.4
2006-06-02 01:48:58,0.52,185,6.7
2006-06-02 02:48:58,0.55,201,6
2006-06-02 03:48:58,0.61,197,6.7
2006-06-02 04:48:58,0.54,180,6.4
2006-06-02 05:48:58,0.55,197,6.7
2006-06-02 06:48:58,0.52,281,7.5
2006-06-02 07:48:58,-1,-1,-1
2006-06-02 14:48:59,0.62,181,6.4
2006-06-02 17:51:00,0.63,259,3.3
2006-06-02 18:51:01,0.61,270,3.6
2006-06-02 19:51:01,0.64,230,3.7
2006-06-02 20:51:01,0.76,230,4.1
2006-06-02 21:51:01,0.81,194,4.2
2006-06-02 23:51:02,0.8,243,4.2
2006-06-03 00:51:01,0.81,253,4.7
2006-06-03 01:51:01,-1,-1,-1
2006-06-04 15:51:05,-1,-1,-1
2006-06-04 16:51:05,0.4,201,5.3
2006-06-04 17:51:06,0.39,197,5.3
2006-06-04 18:51:05,0.37,189,4.9
